sample,broadband albedo,wavelength,albedo,Fraction of incident irradiance within band,cell concentration,class
BB_070221_1,0.44421,0.955,0.832379,0.002586,1393862.87,snicar
BB_070221_1,0.44421,0.965,0.81703,0.004163,1393862.87,snicar
BB_070221_1,0.44421,0.975,0.801977,0.005189,1393862.87,snicar
BB_070221_1,0.44421,0.985,0.787554,0.006031,1393862.87,snicar
BB_070221_1,0.44421,0.995,0.77176,0.006458,1393862.87,snicar
BB_070221_1,0.44421,1.005,0.752889,0.006286,1393862.87,snicar
BB_070221_1,0.44421,1.015,0.736896,0.006194,1393862.87,snicar
BB_070221_1,0.44421,1.025,0.730372,0.006061,1393862.87,snicar
BB_070221_1,0.44421,1.035,0.729584,0.005941,1393862.87,snicar
BB_070221_1,0.44421,1.045,0.735054,0.00581,1393862.87,snicar
BB_070221_1,0.44421,1.055,0.745624,0.005676,1393862.87,snicar
BB_070221_1,0.44421,1.065,0.755557,0.005523,1393862.87,snicar
BB_070221_1,0.44421,1.075,0.762587,0.005346,1393862.87,snicar
BB_070221_1,0.44421,1.085,0.76543,0.005032,1393862.87,snicar
BB_070221_1,0.44421,1.095,0.767773,0.004578,1393862.87,snicar
BB_070221_1,0.44421,1.105,0.767629,0.003696,1393862.87,snicar
BB_070221_1,0.44421,1.115,0.764643,0.001775,1393862.87,snicar
BB_070221_1,0.44421,1.125,0.7575,0.000814,1393862.87,snicar
BB_070221_1,0.44421,1.135,0.746045,0.001362,1393862.87,snicar
BB_070221_1,0.44421,1.145,0.738896,0.00159,1393862.87,snicar
BB_070221_1,0.44421,1.155,0.720726,0.001693,1393862.87,snicar
BB_070221_1,0.44421,1.165,0.692716,0.002935,1393862.87,snicar
BB_070221_1,0.44421,1.175,0.665837,0.003511,1393862.87,snicar
BB_070221_1,0.44421,1.185,0.640355,0.003394,1393862.87,snicar
BB_070221_1,0.44421,1.195,0.618672,0.003726,1393862.87,snicar
BB_070221_1,0.44421,1.205,0.589641,0.003583,1393862.87,snicar
BB_070221_1,0.44421,1.215,0.55977,0.003736,1393862.87,snicar
BB_070221_1,0.44421,1.225,0.540599,0.003883,1393862.87,snicar
BB_070221_1,0.44421,1.235,0.52826,0.004024,1393862.87,snicar
BB_070221_1,0.44421,1.245,0.518856,0.004011,1393862.87,snicar
BB_070221_1,0.44421,1.255,0.514678,0.0039,1393862.87,snicar
BB_070221_1,0.44421,1.265,0.511957,0.003475,1393862.87,snicar
BB_070221_1,0.44421,1.275,0.51319,0.003633,1393862.87,snicar
BB_070221_1,0.44421,1.285,0.516101,0.003587,1393862.87,snicar
BB_070221_1,0.44421,1.295,0.517663,0.003366,1393862.87,snicar
BB_070221_1,0.44421,1.305,0.518957,0.002852,1393862.87,snicar
BB_070221_1,0.44421,1.315,0.520035,0.002575,1393862.87,snicar
BB_070221_1,0.44421,1.325,0.519865,0.002095,1393862.87,snicar
BB_070221_1,0.44421,1.335,0.519369,0.001327,1393862.87,snicar
BB_070221_1,0.44421,1.345,0.514126,0.000642,1393862.87,snicar
BB_070221_1,0.44421,1.355,0.509681,0.000018,1393862.87,snicar
BB_070221_1,0.44421,1.365,0.50479,0.000002,1393862.87,snicar
BB_070221_1,0.44421,1.375,0.494708,0.000017,1393862.87,snicar
BB_070221_1,0.44421,1.385,0.479172,0.000014,1393862.87,snicar
BB_070221_1,0.44421,1.395,0.456677,0.000058,1393862.87,snicar
BB_070221_1,0.44421,1.405,0.390824,0.000013,1393862.87,snicar
BB_070221_1,0.44421,1.415,0.301394,0.000051,1393862.87,snicar
BB_070221_1,0.44421,1.425,0.219993,0.000149,1393862.87,snicar
BB_070221_1,0.44421,1.435,0.161263,0.000186,1393862.87,snicar
BB_070221_1,0.44421,1.445,0.122382,0.000412,1393862.87,snicar
BB_070221_1,0.44421,1.455,0.090589,0.000794,1393862.87,snicar
BB_070221_1,0.44421,1.465,0.067529,0.000623,1393862.87,snicar
BB_070221_1,0.44421,1.475,0.052285,0.000665,1393862.87,snicar
BB_070221_1,0.44421,1.485,0.043943,0.000798,1393862.87,snicar
BB_070221_1,0.44421,1.495,0.041054,0.001506,1393862.87,snicar
BB_070221_1,0.44421,1.505,0.042997,0.001824,1393862.87,snicar
BB_070221_1,0.44421,1.515,0.04559,0.002071,1393862.87,snicar
BB_070221_1,0.44421,1.525,0.048198,0.002273,1393862.87,snicar
BB_070221_1,0.44421,1.535,0.051879,0.002335,1393862.87,snicar
BB_070221_1,0.44421,1.545,0.056294,0.002343,1393862.87,snicar
BB_070221_1,0.44421,1.555,0.061281,0.002324,1393862.87,snicar
BB_070221_1,0.44421,1.565,0.067034,0.002279,1393862.87,snicar
BB_070221_1,0.44421,1.575,0.07391,0.002103,1393862.87,snicar
BB_070221_1,0.44421,1.585,0.081937,0.002175,1393862.87,snicar
BB_070221_1,0.44421,1.595,0.088059,0.002157,1393862.87,snicar
BB_070221_1,0.44421,1.605,0.093876,0.002012,1393862.87,snicar
BB_070221_1,0.44421,1.615,0.099707,0.00204,1393862.87,snicar
BB_070221_1,0.44421,1.625,0.103223,0.002077,1393862.87,snicar
BB_070221_1,0.44421,1.635,0.10692,0.002021,1393862.87,snicar
BB_070221_1,0.44421,1.645,0.110869,0.001948,1393862.87,snicar
BB_070221_1,0.44421,1.655,0.115519,0.001932,1393862.87,snicar
BB_070221_1,0.44421,1.665,0.120903,0.001898,1393862.87,snicar
BB_070221_1,0.44421,1.675,0.126728,0.001853,1393862.87,snicar
BB_070221_1,0.44421,1.685,0.132453,0.001804,1393862.87,snicar
BB_070221_1,0.44421,1.695,0.137964,0.001747,1393862.87,snicar
BB_070221_1,0.44421,1.705,0.143452,0.001673,1393862.87,snicar
BB_070221_1,0.44421,1.715,0.148944,0.001656,1393862.87,snicar
BB_070221_1,0.44421,1.725,0.154734,0.001521,1393862.87,snicar
BB_070221_1,0.44421,1.735,0.159529,0.001411,1393862.87,snicar
BB_070221_1,0.44421,1.745,0.163276,0.001332,1393862.87,snicar
BB_070221_1,0.44421,1.755,0.167201,0.001316,1393862.87,snicar
BB_070221_1,0.44421,1.765,0.170536,0.001078,1393862.87,snicar
BB_070221_1,0.44421,1.775,0.173277,0.000919,1393862.87,snicar
BB_070221_1,0.44421,1.785,0.176088,0.000635,1393862.87,snicar
BB_070221_1,0.44421,1.795,0.178899,0.000432,1393862.87,snicar
BB_070221_1,0.44421,1.805,0.182366,0.000126,1393862.87,snicar
BB_070221_1,0.44421,1.815,0.186254,0.00005,1393862.87,snicar
BB_070221_1,0.44421,1.825,0.19043,0.000013,1393862.87,snicar
BB_070221_1,0.44421,1.835,0.192122,0.000015,1393862.87,snicar
BB_070221_1,0.44421,1.845,0.190076,0.000001,1393862.87,snicar
BB_070221_1,0.44421,1.855,0.183837,0.000003,1393862.87,snicar
BB_070221_1,0.44421,1.865,0.167784,0.000001,1393862.87,snicar
BB_070221_1,0.44421,1.875,0.141472,0.000002,1393862.87,snicar
BB_070221_1,0.44421,1.885,0.116018,0.000018,1393862.87,snicar
BB_070221_1,0.44421,1.895,0.089987,0.000103,1393862.87,snicar
BB_070221_1,0.44421,1.905,0.067208,0.000005,1393862.87,snicar
BB_070221_1,0.44421,1.915,0.04619,0.000012,1393862.87,snicar
BB_070221_1,0.44421,1.925,0.034071,0.000006,1393862.87,snicar
BB_070221_1,0.44421,1.935,0.025144,0.000038,1393862.87,snicar
BB_070221_1,0.44421,1.945,0.019823,0.000076,1393862.87,snicar
BB_070221_1,0.44421,1.955,0.016638,0.000129,1393862.87,snicar
BB_070221_1,0.44421,1.965,0.014787,0.000225,1393862.87,snicar
BB_070221_1,0.44421,1.975,0.013865,0.000462,1393862.87,snicar
BB_070221_1,0.44421,1.985,0.013494,0.000603,1393862.87,snicar
BB_070221_1,0.44421,1.995,0.013629,0.000566,1393862.87,snicar
BB_070221_1,0.44421,2.005,0.014027,0.000254,1393862.87,snicar
BB_070221_1,0.44421,2.015,0.014706,0.000292,1393862.87,snicar
BB_070221_1,0.44421,2.025,0.015497,0.00057,1393862.87,snicar
BB_070221_1,0.44421,2.035,0.016389,0.000768,1393862.87,snicar
BB_070221_1,0.44421,2.045,0.017595,0.000749,1393862.87,snicar
BB_070221_1,0.44421,2.055,0.019381,0.000538,1393862.87,snicar
BB_070221_1,0.44421,2.065,0.0216,0.000556,1393862.87,snicar
BB_070221_1,0.44421,2.075,0.02468,0.000657,1393862.87,snicar
BB_070221_1,0.44421,2.085,0.028538,0.000755,1393862.87,snicar
BB_070221_1,0.44421,2.095,0.033542,0.000756,1393862.87,snicar
BB_070221_1,0.44421,2.105,0.040055,0.000782,1393862.87,snicar
BB_070221_1,0.44421,2.115,0.04674,0.000762,1393862.87,snicar
BB_070221_1,0.44421,2.125,0.055446,0.000768,1393862.87,snicar
BB_070221_1,0.44421,2.135,0.064976,0.000774,1393862.87,snicar
BB_070221_1,0.44421,2.145,0.074753,0.000772,1393862.87,snicar
BB_070221_1,0.44421,2.155,0.084874,0.000713,1393862.87,snicar
BB_070221_1,0.44421,2.165,0.094607,0.000681,1393862.87,snicar
BB_070221_1,0.44421,2.175,0.10433,0.000698,1393862.87,snicar
BB_070221_1,0.44421,2.185,0.113514,0.000659,1393862.87,snicar
BB_070221_1,0.44421,2.195,0.122023,0.000671,1393862.87,snicar
BB_070221_1,0.44421,2.205,0.129386,0.000656,1393862.87,snicar
BB_070221_1,0.44421,2.215,0.137496,0.000669,1393862.87,snicar
BB_070221_1,0.44421,2.225,0.144735,0.000671,1393862.87,snicar
BB_070221_1,0.44421,2.235,0.150701,0.000668,1393862.87,snicar
BB_070221_1,0.44421,2.245,0.154785,0.000657,1393862.87,snicar
BB_070221_1,0.44421,2.255,0.153677,0.000646,1393862.87,snicar
BB_070221_1,0.44421,2.265,0.150567,0.000636,1393862.87,snicar
BB_070221_1,0.44421,2.275,0.143956,0.000627,1393862.87,snicar
BB_070221_1,0.44421,2.285,0.135939,0.000617,1393862.87,snicar
BB_070221_1,0.44421,2.295,0.126513,0.000605,1393862.87,snicar
BB_070221_1,0.44421,2.305,0.11634,0.000588,1393862.87,snicar
BB_070221_1,0.44421,2.315,0.106921,0.000561,1393862.87,snicar
BB_070221_1,0.44421,2.325,0.098084,0.000503,1393862.87,snicar
BB_070221_1,0.44421,2.335,0.090442,0.000507,1393862.87,snicar
BB_070221_1,0.44421,2.345,0.08389,0.00044,1393862.87,snicar
BB_070221_1,0.44421,2.355,0.078766,0.000434,1393862.87,snicar
BB_070221_1,0.44421,2.365,0.074719,0.000422,1393862.87,snicar
BB_070221_1,0.44421,2.375,0.071671,0.000335,1393862.87,snicar
BB_070221_1,0.44421,2.385,0.069425,0.000286,1393862.87,snicar
BB_070221_1,0.44421,2.395,0.06751,0.000345,1393862.87,snicar
BB_070221_1,0.44421,2.405,0.065929,0.000308,1393862.87,snicar
BB_070221_1,0.44421,2.415,0.064562,0.000194,1393862.87,snicar
BB_070221_1,0.44421,2.425,0.0634,0.000288,1393862.87,snicar
BB_070221_1,0.44421,2.435,0.062032,0.00022,1393862.87,snicar
BB_070221_1,0.44421,2.445,0.060533,0.000233,1393862.87,snicar
BB_070221_1,0.44421,2.455,0.059168,0.00014,1393862.87,snicar
BB_070221_1,0.44421,2.465,0.057931,0.000207,1393862.87,snicar
BB_070221_1,0.44421,2.475,0.056729,0.000099,1393862.87,snicar
BB_070221_1,0.44421,2.485,0.055636,0.000072,1393862.87,snicar
BB_070221_1,0.44421,2.495,0.054679,0.000039,1393862.87,snicar
BB_070221_1,0.44421,2.505,0.054175,0.000028,1393862.87,snicar
BB_070221_1,0.44421,2.515,0.054105,0.000012,1393862.87,snicar
BB_070221_1,0.44421,2.525,0.054412,0.000005,1393862.87,snicar
BB_070221_1,0.44421,2.535,0.055028,0,1393862.87,snicar
BB_070221_1,0.44421,2.545,0.055604,0,1393862.87,snicar
BB_070221_1,0.44421,2.555,0.056551,0,1393862.87,snicar
BB_070221_1,0.44421,2.565,0.057831,0,1393862.87,snicar
BB_070221_1,0.44421,2.575,0.058736,0,1393862.87,snicar
BB_070221_1,0.44421,2.585,0.059249,0,1393862.87,snicar
BB_070221_1,0.44421,2.595,0.059091,0,1393862.87,snicar
BB_070221_1,0.44421,2.605,0.05812,0,1393862.87,snicar
BB_070221_1,0.44421,2.615,0.056284,0,1393862.87,snicar
BB_070221_1,0.44421,2.625,0.051627,0,1393862.87,snicar
BB_070221_1,0.44421,2.635,0.045275,0,1393862.87,snicar
BB_070221_1,0.44421,2.645,0.040687,0,1393862.87,snicar
BB_070221_1,0.44421,2.655,0.036582,0,1393862.87,snicar
BB_070221_1,0.44421,2.665,0.032659,0,1393862.87,snicar
BB_070221_1,0.44421,2.675,0.029199,0,1393862.87,snicar
BB_070221_1,0.44421,2.685,0.020591,0,1393862.87,snicar
BB_070221_1,0.44421,2.695,0.01582,0,1393862.87,snicar
BB_070221_1,0.44421,2.705,0.012572,0,1393862.87,snicar
BB_070221_1,0.44421,2.715,0.010309,0,1393862.87,snicar
BB_070221_1,0.44421,2.725,0.008447,0,1393862.87,snicar
BB_070221_1,0.44421,2.735,0.005047,0,1393862.87,snicar
BB_070221_1,0.44421,2.745,0.003841,0,1393862.87,snicar
BB_070221_1,0.44421,2.755,0.003314,0,1393862.87,snicar
BB_070221_1,0.44421,2.765,0.003072,0,1393862.87,snicar
BB_070221_1,0.44421,2.775,0.002945,0,1393862.87,snicar
BB_070221_1,0.44421,2.785,0.002798,0,1393862.87,snicar
BB_070221_1,0.44421,2.795,0.002724,0,1393862.87,snicar
BB_070221_1,0.44421,2.805,0.002687,0,1393862.87,snicar
BB_070221_1,0.44421,2.815,0.002673,0,1393862.87,snicar
BB_070221_1,0.44421,2.825,0.002695,0,1393862.87,snicar
BB_070221_1,0.44421,2.835,0.00277,0,1393862.87,snicar
BB_070221_1,0.44421,2.845,0.002943,0.000001,1393862.87,snicar
BB_070221_1,0.44421,2.855,0.003293,0.000001,1393862.87,snicar
BB_070221_1,0.44421,2.865,0.003802,0.000002,1393862.87,snicar
BB_070221_1,0.44421,2.875,0.00447,0.000006,1393862.87,snicar
BB_070221_1,0.44421,2.885,0.005142,0.000004,1393862.87,snicar
BB_070221_1,0.44421,2.895,0.005828,0.000034,1393862.87,snicar
BB_070221_1,0.44421,2.905,0.006415,0.000005,1393862.87,snicar
BB_070221_1,0.44421,2.915,0.006937,0.000012,1393862.87,snicar
BB_070221_1,0.44421,2.925,0.007293,0.000023,1393862.87,snicar
BB_070221_1,0.44421,2.935,0.007631,0.000036,1393862.87,snicar
BB_070221_1,0.44421,2.945,0.00784,0.000012,1393862.87,snicar
BB_070221_1,0.44421,2.955,0.00807,0.000033,1393862.87,snicar
BB_070221_1,0.44421,2.965,0.008308,0.000055,1393862.87,snicar
BB_070221_1,0.44421,2.975,0.008578,0.000011,1393862.87,snicar
BB_070221_1,0.44421,2.985,0.008853,0.000049,1393862.87,snicar
BB_070221_1,0.44421,2.995,0.00918,0.00005,1393862.87,snicar
BB_070221_1,0.44421,3.005,0.009504,0.000026,1393862.87,snicar
BB_070221_1,0.44421,3.015,0.009822,0.000027,1393862.87,snicar
BB_070221_1,0.44421,3.025,0.010135,0.00003,1393862.87,snicar
BB_070221_1,0.44421,3.035,0.010443,0.000014,1393862.87,snicar
BB_070221_1,0.44421,3.045,0.010729,0.000022,1393862.87,snicar
BB_070221_1,0.44421,3.055,0.011005,0.000013,1393862.87,snicar
BB_070221_1,0.44421,3.065,0.011052,0.00004,1393862.87,snicar
BB_070221_1,0.44421,3.075,0.01106,0.000031,1393862.87,snicar
BB_070221_1,0.44421,3.085,0.010903,0.000023,1393862.87,snicar
BB_070221_1,0.44421,3.095,0.010762,0.000026,1393862.87,snicar
BB_070221_1,0.44421,3.105,0.010532,0.00002,1393862.87,snicar
BB_070221_1,0.44421,3.115,0.010333,0.000035,1393862.87,snicar
BB_070221_1,0.44421,3.125,0.010181,0.000042,1393862.87,snicar
BB_070221_1,0.44421,3.135,0.010055,0.000041,1393862.87,snicar
BB_070221_1,0.44421,3.145,0.009922,0.000045,1393862.87,snicar
BB_070221_1,0.44421,3.155,0.009808,0.000058,1393862.87,snicar
BB_070221_1,0.44421,3.165,0.009636,0.000092,1393862.87,snicar
BB_070221_1,0.44421,3.175,0.009489,0.000113,1393862.87,snicar
BB_070221_1,0.44421,3.185,0.009279,0.000083,1393862.87,snicar
BB_070221_1,0.44421,3.195,0.00909,0.00003,1393862.87,snicar
BB_070221_1,0.44421,3.205,0.008873,0.000005,1393862.87,snicar
BB_070221_1,0.44421,3.215,0.008667,0.000008,1393862.87,snicar
BB_070221_1,0.44421,3.225,0.008485,0.000014,1393862.87,snicar
BB_070221_1,0.44421,3.235,0.008311,0.000026,1393862.87,snicar
BB_070221_1,0.44421,3.245,0.008167,0.000041,1393862.87,snicar
BB_070221_1,0.44421,3.255,0.008032,0.000034,1393862.87,snicar
BB_070221_1,0.44421,3.265,0.007887,0.000027,1393862.87,snicar
BB_070221_1,0.44421,3.275,0.007751,0.000036,1393862.87,snicar
BB_070221_1,0.44421,3.285,0.007644,0.00005,1393862.87,snicar
BB_070221_1,0.44421,3.295,0.007566,0.00001,1393862.87,snicar
BB_070221_1,0.44421,3.305,0.007518,0.000051,1393862.87,snicar
BB_070221_1,0.44421,3.315,0.00745,0.00002,1393862.87,snicar
BB_070221_1,0.44421,3.325,0.007396,0.000041,1393862.87,snicar
BB_070221_1,0.44421,3.335,0.007359,0.000052,1393862.87,snicar
BB_070221_1,0.44421,3.345,0.007342,0.000047,1393862.87,snicar
BB_070221_1,0.44421,3.355,0.007321,0.000048,1393862.87,snicar
BB_070221_1,0.44421,3.365,0.007288,0.00006,1393862.87,snicar
BB_070221_1,0.44421,3.375,0.007271,0.000069,1393862.87,snicar
BB_070221_1,0.44421,3.385,0.007267,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.395,0.007284,0.000111,1393862.87,snicar
BB_070221_1,0.44421,3.405,0.007296,0.000069,1393862.87,snicar
BB_070221_1,0.44421,3.415,0.007319,0.000109,1393862.87,snicar
BB_070221_1,0.44421,3.425,0.007363,0.000121,1393862.87,snicar
