OBJECTID,CID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20
52,1,snow,-121.6977348,48.85290534,20876.49219,-6788.552734,1554.220825,727.8182373,-32.4668007,304.5828552,189.3157806,53.125412,-9.877655,11.095542
53,1,snow,-121.6981191,48.85334423,22331.2168,-5580.406738,1092.12561,284.1303406,893.0308228,526.2357788,1069.241089,136.6918182,-353.1018372,-146.6779938
54,1,vegetation,-121.6951934,48.85384196,82562.51563,758.0931396,-835.1472168,-259.1612549,-291.1894531,14.0133495,148.490509,-41.8806038,222.3293304,-105.8195343
55,1,water,-121.6904327,48.85418114,85884.27344,-1927.460571,-1352.546753,-67.9083557,18.2690334,-128.9647217,-130.763443,0.4561569,-111.1199493,72.0086746
56,1,vegetation,-121.6960242,48.85465052,77231.38281,4393.819824,362.7462769,3.3463523,-131.3188171,-5.8615398,71.7471161,-34.8480148,-23.5798817,-191.4006653
57,1,vegetation,-121.6959442,48.8542431,80237.28125,2538.633789,-566.3009033,-93.3022385,-296.3520203,173.2565155,-24.0654488,31.4358559,270.0371704,57.7336769
58,1,snow,-121.6975767,48.85350055,18313.46875,-5321.211426,175.0163269,1201.684448,-105.652504,58.8776436,-290.5125732,-300.0181274,-790.152771,790.6133423
59,1,vegetation,-121.6969033,48.85451323,76072.98438,1480.11438,-1258.149048,415.1975403,-385.6672668,211.4062195,107.5480118,80.9493103,44.0735855,-383.2902832
60,1,vegetation,-121.6937124,48.85350906,82289.60156,283.8360596,-785.6046753,-245.5170898,-10.3503313,215.5946045,175.2490082,3.9304144,107.5328903,-89.7094879
61,1,water,-121.6931583,48.85434634,87901.53906,-2763.490234,-627.6195679,-817.3971558,146.1235809,-56.1810799,-182.4812622,-42.3268929,20.5622959,33.7540398
62,1,snow,-121.6963131,48.85306363,29820.01172,-4407.173828,480.131134,706.1481323,-125.8216782,870.9562988,137.5274963,-511.4648743,-90.1702499,337.0205383
63,1,water,-121.6931446,48.85428325,87999.83594,-2805.10083,-634.3877563,-804.5123291,123.896759,-96.2036438,-168.3999023,-20.1947384,-60.5991287,20.1019421
64,1,rock,-121.6896887,48.85403202,81693.32031,-419.9878235,-1578.006348,-83.4047775,-291.4724121,125.6653137,380.1403809,6.0284958,225.3339233,-134.6925507
65,1,snow,-121.6978082,48.8533954,22577.44727,-6632.214844,1564.636475,-378.5365295,-19.4773731,720.508606,-420.0482483,-107.4034576,-169.3942413,531.1669312
66,1,vegetation,-121.6931439,48.85254042,79108.32813,2478.930908,-173.9161224,367.9336853,218.7979584,-163.4714508,-62.1411705,235.6384735,42.2772789,-102.8627701
67,1,water,-121.6922315,48.85410784,88358.70313,-2879.916992,-535.0583496,-814.109375,157.8429108,-94.6240463,-253.5814972,9.1891937,21.2801781,75.311142
