OBJECTID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20,cell concentration (cells/mL)
27,snow,-121.6905565,48.85405448,-57386.36719,-389.3043518,-1607.361816,180.5609283,-684.0612793,647.2112427,-239.7001953,-34.7894554,-331.4971313,309.1262512,
28,snow,-121.6965994,48.85332939,-37208.38281,3252.20166,-834.3875122,-125.66539,-14.8648424,480.8517761,-433.4306946,855.446228,-125.3993225,-915.0772095,
29,snow,-121.6915533,48.85469754,-48769.93359,1504.408691,105.5602112,261.3940125,592.7412109,-741.6257324,-115.6117249,-214.7528992,-444.9290466,-16.6048336,
30,snow,-121.6930496,48.85429302,-48557.73438,2285.885254,-1029.426758,416.7912292,-183.3233948,27.7273121,279.4197083,-138.5015717,523.2542114,-334.2388611,
31,snow,-121.6964386,48.85433367,-53272.6875,1278.494751,-986.5823364,-597.1491699,-164.4146423,-567.2224121,-63.6264038,-290.2416992,139.8916016,-205.3569794,
32,snow,-121.6969403,48.85296738,-31858.42773,4317.38916,-301.3034973,504.6757507,667.9254761,273.1442871,74.1442947,409.757782,-875.6392822,-691.8788452,
33,snow,-121.6947382,48.85333809,-34295.87109,3393.999512,-281.3796082,-175.0724487,-225.7060242,-158.6487274,-351.6521606,152.3154602,649.5907593,65.6390152,
34,snow,-121.6961137,48.85372513,-37428.39844,2950.3479,-553.4300537,382.4246826,-302.4241943,-633.0372314,-562.7061157,334.4639282,-283.5967407,58.4211426,
35,snow,-121.6975876,48.85339699,-39338.46094,2372.632813,-368.0433655,-106.0990219,-250.2360535,-351.84729,-594.7581177,-172.6128845,43.8902512,2.2767491,
36,snow,-121.6925148,48.85409724,-46605.90625,2070.884522,-200.9436035,766.1973267,-378.8292847,-739.1784058,-22.7171631,-792.7443848,437.6489868,-909.7614136,
37,snow,-121.6920021,48.85361544,-37534.81641,4124.141602,39.548893,25.8426189,562.1390381,-480.860321,18.2979317,524.6206055,562.2246094,-416.1506348,
38,snow,-121.6965102,48.85382135,-39997.36719,2458.421387,-292.973175,326.0838318,-332.1322327,612.5006714,-622.2345581,-747.0623779,136.4732971,-229.2660065,
